Pais,Camiseta,Nombre,Apellido,PJ,Goles,Minutos,Asistencias,Amarillas,Rojas,Faltas
Estados Unidos,1,nombre1,apellido1,2,1,180,0,0,0,0
Estados Unidos,2,nombre2,apellido2,2,2,180,0,0,0,0
Estados Unidos,3,nombre3,apellido3,0,0,0,0,0,0,0
Estados Unidos,4,nombre4,apellido4,2,1,180,0,0,0,1
Estados Unidos,5,nombre5,apellido5,3,0,270,0,0,0,0
Estados Unidos,6,nombre6,apellido6,2,0,180,0,1,0,0
Estados Unidos,7,nombre7,apellido7,1,0,90,0,0,0,1
Estados Unidos,8,nombre8,apellido8,1,0,90,0,0,0,0
Estados Unidos,9,nombre9,apellido9,1,0,90,0,1,0,0
Estados Unidos,10,nombre10,apellido10,3,1,270,0,1,0,2
Estados Unidos,11,nombre11,apellido11,5,2,450,0,0,0,3
Estados Unidos,12,nombre12,apellido12,2,1,180,0,0,0,0
Estados Unidos,13,nombre13,apellido13,4,3,360,0,0,0,0
Estados Unidos,14,nombre14,apellido14,4,1,360,0,0,0,1
Estados Unidos,15,nombre15,apellido15,1,0,90,0,0,0,0
Estados Unidos,16,nombre16,apellido16,3,1,270,0,0,0,2
Estados Unidos,17,nombre17,apellido17,2,0,180,0,0,0,0
Estados Unidos,18,nombre18,apellido18,3,0,270,0,2,1,0
Estados Unidos,19,nombre19,apellido19,2,0,180,0,0,0,0
Estados Unidos,20,nombre20,apellido20,1,0,90,0,0,0,0
Estados Unidos,21,nombre21,apellido21,4,1,360,0,0,0,0
Estados Unidos,22,nombre22,apellido22,2,0,180,0,0,0,0
Estados Unidos,23,nombre23,apellido23,0,0,0,0,0,0,0
Estados Unidos,24,nombre24,apellido24,1,0,90,0,0,0,0
Estados Unidos,25,nombre25,apellido25,3,2,270,0,0,0,0
Estados Unidos,26,nombre26,apellido26,1,0,90,0,0,0,0
Francia,1,nombre1,apellido1,6,2,630,0,0,0,0
Francia,2,nombre2,apellido2,2,2,240,0,0,0,2
Francia,3,nombre3,apellido3,1,0,120,0,0,0,0
Francia,4,nombre4,apellido4,3,1,330,0,0,0,0
Francia,5,nombre5,apellido5,3,2,300,0,0,0,0
Francia,6,nombre6,apellido6,4,2,450,0,0,0,1
Francia,7,nombre7,apellido7,5,0,540,0,1,0,1
Francia,8,nombre8,apellido8,2,1,240,0,0,0,0
Francia,9,nombre9,apellido9,5,3,540,0,2,0,1
Francia,10,nombre10,apellido10,3,1,300,0,0,0,1
Francia,11,nombre11,apellido11,4,1,420,0,0,0,0
Francia,12,nombre12,apellido12,5,1,480,0,1,0,0
Francia,13,nombre13,apellido13,3,2,300,0,0,0,2
Francia,14,nombre14,apellido14,5,5,510,0,1,0,2
Francia,15,nombre15,apellido15,4,1,420,0,0,0,1
Francia,16,nombre16,apellido16,3,1,300,0,0,0,1
Francia,17,nombre17,apellido17,3,0,330,0,1,0,0
Francia,18,nombre18,apellido18,3,2,300,0,0,0,0
Francia,19,nombre19,apellido19,5,0,510,0,1,0,2
Francia,20,nombre20,apellido20,5,2,540,0,0,0,1
Francia,21,nombre21,apellido21,3,0,300,0,0,0,1
Francia,22,nombre22,apellido22,1,0,120,0,0,0,0
Francia,23,nombre23,apellido23,2,0,180,0,0,0,0
Francia,24,nombre24,apellido24,3,2,330,0,3,1,0
Francia,25,nombre25,apellido25,2,0,180,0,0,0,0
Francia,26,nombre26,apellido26,3,1,330,0,0,0,0
Brasil,1,nombre1,apellido1,4,4,420,0,0,0,2
Brasil,2,nombre2,apellido2,1,0,120,0,0,0,0
Brasil,3,nombre3,apellido3,2,0,240,0,0,0,0
Brasil,4,nombre4,apellido4,3,2,300,0,1,0,1
Brasil,5,nombre5,apellido5,1,0,90,0,0,0,0
Brasil,6,nombre6,apellido6,1,0,90,0,0,0,0
Brasil,7,nombre7,apellido7,2,1,210,0,0,0,1
Brasil,8,nombre8,apellido8,3,0,330,0,0,0,0
Brasil,9,nombre9,apellido9,3,0,300,0,1,0,0
Brasil,10,nombre10,apellido10,2,0,210,0,0,0,1
Brasil,11,nombre11,apellido11,2,0,210,0,0,0,1
Brasil,12,nombre12,apellido12,2,2,180,0,0,0,0
Brasil,13,nombre13,apellido13,3,0,270,0,0,0,0
Brasil,14,nombre14,apellido14,3,1,300,0,0,0,0
Brasil,15,nombre15,apellido15,1,0,120,0,0,0,0
Brasil,16,nombre16,apellido16,2,1,180,0,0,0,1
Brasil,17,nombre17,apellido17,3,2,300,0,0,0,0
Brasil,18,nombre18,apellido18,1,0,90,0,0,0,0
Brasil,19,nombre19,apellido19,4,2,420,0,1,0,1
Brasil,20,nombre20,apellido20,1,0,120,0,0,0,0
Brasil,21,nombre21,apellido21,0,0,0,0,0,0,0
Brasil,22,nombre22,apellido22,3,2,330,0,1,0,1
Brasil,23,nombre23,apellido23,1,0,90,0,0,0,1
Brasil,24,nombre24,apellido24,3,0,300,0,1,0,2
Brasil,25,nombre25,apellido25,3,0,300,0,0,0,0
Brasil,26,nombre26,apellido26,1,1,90,0,0,0,1
Senegal,1,nombre1,apellido1,4,2,420,0,0,0,2
Senegal,2,nombre2,apellido2,3,1,330,0,0,0,0
Senegal,3,nombre3,apellido3,2,1,240,0,0,0,2
Senegal,4,nombre4,apellido4,3,1,330,0,0,0,0
Senegal,5,nombre5,apellido5,2,0,210,0,0,0,1
Senegal,6,nombre6,apellido6,2,1,210,0,0,0,0
Senegal,7,nombre7,apellido7,3,0,330,0,1,0,1
Senegal,8,nombre8,apellido8,2,0,180,0,0,0,0
Senegal,9,nombre9,apellido9,2,1,240,0,0,0,0
Senegal,10,nombre10,apellido10,2,0,180,0,1,0,1
Senegal,11,nombre11,apellido11,3,0,300,0,0,0,0
Senegal,12,nombre12,apellido12,2,1,210,0,0,0,0
Senegal,13,nombre13,apellido13,2,1,210,0,0,0,0
Senegal,14,nombre14,apellido14,3,1,270,0,1,0,0
Senegal,15,nombre15,apellido15,2,0,210,0,1,0,0
Senegal,16,nombre16,apellido16,4,1,420,0,1,0,2
Senegal,17,nombre17,apellido17,4,0,420,0,0,0,3
Senegal,18,nombre18,apellido18,3,1,330,0,0,0,1
Senegal,19,nombre19,apellido19,1,1,120,0,0,0,0
Senegal,20,nombre20,apellido20,1,0,120,0,0,0,1
Senegal,21,nombre21,apellido21,3,1,300,0,0,0,1
Senegal,22,nombre22,apellido22,2,0,210,0,0,0,0
Senegal,23,nombre23,apellido23,3,2,330,0,0,0,0
Senegal,24,nombre24,apellido24,3,1,300,0,0,0,0
Senegal,25,nombre25,apellido25,2,3,180,0,0,0,1
Senegal,26,nombre26,apellido26,3,1,330,0,0,0,0
Japon,1,nombre1,apellido1,3,1,300,0,0,0,2
Japon,2,nombre2,apellido2,2,3,180,0,1,0,0
Japon,3,nombre3,apellido3,3,1,300,0,0,0,0
Japon,4,nombre4,apellido4,6,2,570,0,0,0,1
Japon,5,nombre5,apellido5,1,1,120,0,1,0,1
Japon,6,nombre6,apellido6,5,2,480,0,0,0,2
Japon,7,nombre7,apellido7,3,1,270,0,0,0,0
Japon,8,nombre8,apellido8,2,0,180,0,1,0,1
Japon,9,nombre9,apellido9,3,0,270,0,0,0,0
Japon,10,nombre10,apellido10,3,0,270,0,0,0,1
Japon,11,nombre11,apellido11,2,0,180,0,0,0,0
Japon,12,nombre12,apellido12,2,1,180,0,0,0,0
Japon,13,nombre13,apellido13,5,2,450,0,0,0,1
Japon,14,nombre14,apellido14,4,1,360,0,0,0,0
Japon,15,nombre15,apellido15,2,1,180,0,1,0,0
Japon,16,nombre16,apellido16,7,2,660,0,0,0,2
Japon,17,nombre17,apellido17,6,0,570,0,1,0,3
Japon,18,nombre18,apellido18,2,0,210,0,0,0,0
Japon,19,nombre19,apellido19,3,0,300,0,0,0,0
Japon,20,nombre20,apellido20,2,1,180,0,0,0,1
Japon,21,nombre21,apellido21,3,2,300,0,0,0,0
